# Copyright (C) 2016  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Intel and sold by Intel or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus Prime Version 16.1.0 Build 196 10/24/2016 SJ Standard Edition
# File: G:\WORK_SPACE\Verilog_HDL_CODE\csv.csv
# Generated on: Wed Jan 31 15:02:31 2018

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
VGA_B[5],Output,PIN_P15,5,B5_N0,PIN_P15,2.5 V,,,,,
VGA_B[4],Output,PIN_P16,5,B5_N0,PIN_P16,2.5 V,,,,,
VGA_B[3],Output,PIN_K12,5,B5_N0,PIN_K12,2.5 V,,,,,
VGA_B[2],Output,,,,PIN_L11,,,,,,
VGA_B[1],Output,,,,PIN_T13,,,,,,
VGA_B[0],Output,,,,PIN_L12,,,,,,
VGA_BLANK,Output,PIN_L14,5,B5_N0,PIN_L14,2.5 V,,,,,
VGA_CLK,Output,PIN_N14,5,B5_N0,PIN_N14,2.5 V,,,,,
VGA_G[7],Output,PIN_L13,5,B5_N0,PIN_L13,2.5 V,,,,,
VGA_G[6],Output,PIN_J14,5,B5_N0,PIN_J14,2.5 V,,,,,
VGA_G[5],Output,PIN_J13,5,B5_N0,PIN_J13,2.5 V,,,,,
VGA_G[4],Output,PIN_J12,5,B5_N0,PIN_J12,2.5 V,,,,,
VGA_G[3],Output,PIN_J11,5,B5_N0,PIN_J11,2.5 V,,,,,
VGA_G[2],Output,PIN_K10,4,B4_N0,PIN_K10,2.5 V,,,,,
VGA_G[1],Output,,,,PIN_T14,,,,,,
VGA_G[0],Output,,,,PIN_T15,,,,,,
VGA_HS,Output,PIN_N11,4,B4_N0,PIN_N11,2.5 V,,,,,
VGA_R[7],Output,PIN_N12,4,B4_N0,PIN_N12,2.5 V,,,,,
VGA_R[6],Output,PIN_N13,5,B5_N0,PIN_N13,2.5 V,,,,,
VGA_R[5],Output,PIN_R16,5,B5_N0,PIN_R16,2.5 V,,,,,
VGA_R[4],Output,PIN_P14,4,B4_N0,PIN_P14,2.5 V,,,,,
VGA_R[3],Output,PIN_M11,4,B4_N0,PIN_M11,2.5 V,,,,,
VGA_R[2],Output,,,,PIN_L10,,,,,,
VGA_R[1],Output,,,,PIN_R13,,,,,,
VGA_R[0],Output,,,,PIN_R14,,,,,,
VGA_VS,Output,PIN_P11,4,B4_N0,PIN_P11,2.5 V,,,,,
WM_ADCDAT,Input,PIN_M9,4,B4_N0,PIN_M9,2.5 V,,,,,
WM_ADCLRC,Input,PIN_P9,4,B4_N0,PIN_P9,2.5 V,,,,,
WM_BCLK,Input,PIN_N8,3,B3_N0,PIN_N8,2.5 V,,,,,
WM_DACDAT,Output,PIN_L8,3,B3_N0,PIN_L8,2.5 V,,,,,
WM_DACLRC,Input,PIN_K9,4,B4_N0,PIN_K9,2.5 V,,,,,
WM_I2C_SCK,Output,PIN_T8,3,B3_N0,PIN_T8,2.5 V,,,,,
WM_I2C_SDA,Output,PIN_P8,3,B3_N0,PIN_P8,2.5 V,,,,,
altera_reserved_tck,Input,,,,PIN_H3,,,,,,
altera_reserved_tdi,Input,,,,PIN_H4,,,,,,
altera_reserved_tdo,Output,,,,PIN_J4,,,,,,
altera_reserved_tms,Input,,,,PIN_J5,,,,,,
clk_1M,Output,,,,PIN_P1,,,,,,
clk_50M,Input,PIN_E1,1,B1_N0,PIN_E1,2.5 V,,,,,
rst_n,Input,PIN_B3,8,B8_N0,PIN_B3,2.5 V,,,,,
BEEP,Unknown,PIN_L4,2,B2_N0,,,,,,,
SD_DATA1,Unknown,PIN_P1,2,B2_N0,,,,,,,
SD_DATA2,Unknown,PIN_R3,3,B3_N0,,,,,,,
F_SI,Unknown,PIN_T5,3,B3_N0,,,,,,,
F_CLK,Unknown,PIN_R6,3,B3_N0,,,,,,,
F_CS,Unknown,PIN_R9,4,B4_N0,,,,,,,
F_SO,Unknown,PIN_T9,4,B4_N0,,,,,,,
USB_FLAGC,Unknown,PIN_B9,7,B7_N0,,,,,,,
USB_IFCLK,Unknown,PIN_F3,1,B1_N0,,,,,,,
USB_CLKOUT,Unknown,PIN_K5,2,B2_N0,,,,,,,
USB_SLOE,Unknown,PIN_A9,7,B7_N0,,,,,,,
USB_PKTEND,Unknown,PIN_D9,7,B7_N0,,,,,,,
SCLK_1302,Unknown,PIN_T3,3,B3_N0,,,,,,,
DATA_1302,Unknown,PIN_T4,3,B3_N0,,,,,,,
CE_1302,Unknown,PIN_R5,3,B3_N0,,,,,,,
E_TXEN,Unknown,PIN_T10,4,B4_N0,,,,,,,
E_TXD0,Unknown,PIN_T6,3,B3_N0,,,,,,,
E_TXD1,Unknown,PIN_R7,3,B3_N0,,,,,,,
E_TXD2,Unknown,PIN_R8,3,B3_N0,,,,,,,
E_TXD3,Unknown,PIN_L9,4,B4_N0,,,,,,,
E_TXC,Unknown,PIN_T7,3,B3_N0,,,,,,,
E_RXDV,Unknown,PIN_R12,4,B4_N0,,,,,,,
E_RXER,Unknown,PIN_T12,4,B4_N0,,,,,,,
E_RXC,Unknown,PIN_T15,4,B4_N0,,,,,,,
E_RXD0,Unknown,PIN_T13,4,B4_N0,,,,,,,
E_RXD1,Unknown,PIN_R13,4,B4_N0,,,,,,,
E_RXD2,Unknown,PIN_T14,4,B4_N0,,,,,,,
E_RXD3,Unknown,PIN_R14,4,B4_N0,,,,,,,
EXT_1,Unknown,PIN_L2,2,B2_N0,,,,,,,
EXT_2,Unknown,PIN_L1,2,B2_N0,,,,,,,
EXT_3,Unknown,PIN_N2,2,B2_N0,,,,,,,
EXT_4,Unknown,PIN_N1,2,B2_N0,,,,,,,
EXT_5,Unknown,PIN_K1,2,B2_N0,,,,,,,
EXT_6,Unknown,PIN_J2,2,B2_N0,,,,,,,
EXT_7,Unknown,PIN_L6,2,B2_N0,,,,,,,
EXT_8,Unknown,PIN_K2,2,B2_N0,,,,,,,
EXT_9,Unknown,PIN_N3,3,B3_N0,,,,,,,
EXT_10,Unknown,PIN_M6,3,B3_N0,,,,,,,
EXT_11,Unknown,PIN_N5,3,B3_N0,,,,,,,
EXT_12,Unknown,PIN_P3,3,B3_N0,,,,,,,
EXT_13,Unknown,PIN_N6,3,B3_N0,,,,,,,
EXT_14,Unknown,PIN_L7,3,B3_N0,,,,,,,
EXT_15,Unknown,PIN_M7,3,B3_N0,,,,,,,
EXT_16,Unknown,PIN_P6,3,B3_N0,,,,,,,
KEY_4,Unknown,PIN_M2,2,B2_N0,,,,,,,
